Iteration 0: loss=195297.66, content_loss:0.00, style_loss:195297.08, total_variation_loss:0.58
Iteration 100: loss=32842.62, content_loss:26102.43, style_loss:6738.39, total_variation_loss:1.81
Iteration 200: loss=25909.63, content_loss:20487.50, style_loss:5420.34, total_variation_loss:1.79
Iteration 300: loss=19950.24, content_loss:15725.70, style_loss:4222.74, total_variation_loss:1.81
Iteration 400: loss=17389.63, content_loss:13386.62, style_loss:4001.18, total_variation_loss:1.82
Iteration 500: loss=15430.29, content_loss:11888.11, style_loss:3540.36, total_variation_loss:1.83
Iteration 600: loss=13684.88, content_loss:10251.84, style_loss:3431.21, total_variation_loss:1.83
Iteration 700: loss=12928.86, content_loss:9793.54, style_loss:3133.49, total_variation_loss:1.83
Iteration 800: loss=12433.21, content_loss:9356.03, style_loss:3075.34, total_variation_loss:1.84
Iteration 900: loss=11563.10, content_loss:8548.81, style_loss:3012.45, total_variation_loss:1.85
Iteration 1000: loss=11205.01, content_loss:8414.61, style_loss:2788.55, total_variation_loss:1.85
Iteration 1100: loss=11057.89, content_loss:8132.11, style_loss:2923.92, total_variation_loss:1.85
Iteration 1200: loss=9998.56, content_loss:7287.85, style_loss:2708.85, total_variation_loss:1.86
Iteration 1300: loss=9839.03, content_loss:7204.54, style_loss:2632.63, total_variation_loss:1.86
Iteration 1400: loss=9325.60, content_loss:6736.91, style_loss:2586.83, total_variation_loss:1.87
Iteration 1500: loss=9470.00, content_loss:6871.82, style_loss:2596.31, total_variation_loss:1.87
Iteration 1600: loss=8796.44, content_loss:6290.16, style_loss:2504.41, total_variation_loss:1.87
Iteration 1700: loss=8881.80, content_loss:6441.08, style_loss:2438.85, total_variation_loss:1.87
Iteration 1800: loss=8601.14, content_loss:6178.68, style_loss:2420.58, total_variation_loss:1.88
Iteration 1900: loss=8265.01, content_loss:5878.15, style_loss:2384.98, total_variation_loss:1.88
Iteration 2000: loss=8212.00, content_loss:5852.42, style_loss:2357.70, total_variation_loss:1.88
Iteration 2100: loss=7918.28, content_loss:5589.94, style_loss:2326.45, total_variation_loss:1.89
Iteration 2200: loss=7841.97, content_loss:5549.65, style_loss:2290.44, total_variation_loss:1.89
Iteration 2300: loss=7749.38, content_loss:5460.44, style_loss:2287.05, total_variation_loss:1.89
Iteration 2400: loss=7689.63, content_loss:5432.59, style_loss:2255.15, total_variation_loss:1.89
Iteration 2500: loss=7493.52, content_loss:5269.55, style_loss:2222.08, total_variation_loss:1.89
Iteration 2600: loss=7387.32, content_loss:5189.71, style_loss:2195.71, total_variation_loss:1.89
Iteration 2700: loss=7283.97, content_loss:5067.79, style_loss:2214.28, total_variation_loss:1.90
Iteration 2800: loss=7157.34, content_loss:4970.18, style_loss:2185.26, total_variation_loss:1.90
Iteration 2900: loss=7148.35, content_loss:4973.19, style_loss:2173.26, total_variation_loss:1.90
Iteration 3000: loss=7047.10, content_loss:4889.16, style_loss:2156.03, total_variation_loss:1.90
Iteration 3100: loss=7003.58, content_loss:4857.44, style_loss:2144.24, total_variation_loss:1.90
Iteration 3200: loss=6957.02, content_loss:4826.18, style_loss:2128.94, total_variation_loss:1.90
Iteration 3300: loss=6826.22, content_loss:4713.56, style_loss:2110.77, total_variation_loss:1.90
Iteration 3400: loss=6799.88, content_loss:4700.19, style_loss:2097.78, total_variation_loss:1.90
Iteration 3500: loss=6727.65, content_loss:4640.31, style_loss:2085.43, total_variation_loss:1.90
Iteration 3600: loss=6697.59, content_loss:4622.69, style_loss:2073.00, total_variation_loss:1.90
Iteration 3700: loss=6650.05, content_loss:4574.18, style_loss:2073.96, total_variation_loss:1.91
Iteration 3800: loss=6611.61, content_loss:4541.19, style_loss:2068.51, total_variation_loss:1.91
Iteration 3900: loss=6569.16, content_loss:4511.19, style_loss:2056.06, total_variation_loss:1.91
Iteration 4000: loss=6523.48, content_loss:4473.29, style_loss:2048.29, total_variation_loss:1.91
Iteration 4100: loss=6485.51, content_loss:4443.97, style_loss:2039.63, total_variation_loss:1.91
Iteration 4200: loss=6467.86, content_loss:4433.27, style_loss:2032.69, total_variation_loss:1.91
Iteration 4300: loss=6429.49, content_loss:4399.80, style_loss:2027.78, total_variation_loss:1.91
Iteration 4400: loss=6409.50, content_loss:4385.42, style_loss:2022.17, total_variation_loss:1.91
Iteration 4500: loss=6378.72, content_loss:4360.19, style_loss:2016.62, total_variation_loss:1.91
Iteration 4600: loss=6355.97, content_loss:4342.84, style_loss:2011.22, total_variation_loss:1.91
Iteration 4700: loss=6338.41, content_loss:4330.70, style_loss:2005.79, total_variation_loss:1.91
Iteration 4800: loss=6315.76, content_loss:4311.79, style_loss:2002.06, total_variation_loss:1.91
Iteration 4900: loss=6295.21, content_loss:4295.19, style_loss:1998.11, total_variation_loss:1.91
