Iteration 0: loss=376.79, content_loss:0.00, style_loss:3.93, total_variation_loss:372.86
Iteration 100: loss=11933.67, content_loss:9874.52, style_loss:7.47, total_variation_loss:2051.68
Iteration 200: loss=8056.52, content_loss:6510.65, style_loss:6.21, total_variation_loss:1539.66
Iteration 300: loss=7822.63, content_loss:6494.46, style_loss:5.65, total_variation_loss:1322.53
Iteration 400: loss=5695.27, content_loss:4560.01, style_loss:5.24, total_variation_loss:1130.03
Iteration 500: loss=4795.69, content_loss:3763.00, style_loss:5.01, total_variation_loss:1027.69
Iteration 600: loss=5567.28, content_loss:4594.51, style_loss:4.91, total_variation_loss:967.86
Iteration 700: loss=3917.56, content_loss:3005.33, style_loss:4.73, total_variation_loss:907.51
Iteration 800: loss=3914.87, content_loss:3087.93, style_loss:4.61, total_variation_loss:822.32
Iteration 900: loss=3579.43, content_loss:2819.88, style_loss:4.53, total_variation_loss:755.02
Iteration 1000: loss=3247.88, content_loss:2521.62, style_loss:4.46, total_variation_loss:721.80
Iteration 1100: loss=3601.16, content_loss:2803.32, style_loss:4.44, total_variation_loss:793.40
Iteration 1200: loss=2781.64, content_loss:2106.11, style_loss:4.35, total_variation_loss:671.18
Iteration 1300: loss=2510.73, content_loss:1891.98, style_loss:4.31, total_variation_loss:614.44
Iteration 1400: loss=2459.29, content_loss:1884.44, style_loss:4.26, total_variation_loss:570.59
Iteration 1500: loss=2264.88, content_loss:1692.38, style_loss:4.23, total_variation_loss:568.27
Iteration 1600: loss=2169.47, content_loss:1634.09, style_loss:4.22, total_variation_loss:531.16
Iteration 1700: loss=2066.91, content_loss:1566.80, style_loss:4.19, total_variation_loss:495.92
Iteration 1800: loss=1937.74, content_loss:1457.74, style_loss:4.16, total_variation_loss:475.84
Iteration 1900: loss=1599.12, content_loss:1142.79, style_loss:4.15, total_variation_loss:452.18
Iteration 2000: loss=1667.67, content_loss:1229.83, style_loss:4.13, total_variation_loss:433.71
Iteration 2100: loss=1602.87, content_loss:1183.38, style_loss:4.11, total_variation_loss:415.39
Iteration 2200: loss=1504.20, content_loss:1099.93, style_loss:4.11, total_variation_loss:400.16
Iteration 2300: loss=1333.27, content_loss:937.83, style_loss:4.10, total_variation_loss:391.34
Iteration 2400: loss=1294.65, content_loss:914.65, style_loss:4.09, total_variation_loss:375.91
Iteration 2500: loss=1566.22, content_loss:1199.28, style_loss:4.08, total_variation_loss:362.85
Iteration 2600: loss=1180.70, content_loss:825.91, style_loss:4.07, total_variation_loss:350.72
Iteration 2700: loss=1185.79, content_loss:840.89, style_loss:4.06, total_variation_loss:340.84
Iteration 2800: loss=1124.10, content_loss:789.95, style_loss:4.06, total_variation_loss:330.09
Iteration 2900: loss=1069.45, content_loss:745.91, style_loss:4.05, total_variation_loss:319.49
Iteration 3000: loss=1040.44, content_loss:724.84, style_loss:4.04, total_variation_loss:311.56
Iteration 3100: loss=942.22, content_loss:634.76, style_loss:4.04, total_variation_loss:303.42
Iteration 3200: loss=973.50, content_loss:672.97, style_loss:4.04, total_variation_loss:296.49
Iteration 3300: loss=938.50, content_loss:645.75, style_loss:4.03, total_variation_loss:288.73
Iteration 3400: loss=871.48, content_loss:584.90, style_loss:4.02, total_variation_loss:282.55
Iteration 3500: loss=942.12, content_loss:663.32, style_loss:4.02, total_variation_loss:274.78
Iteration 3600: loss=786.43, content_loss:512.41, style_loss:4.02, total_variation_loss:270.01
Iteration 3700: loss=787.20, content_loss:519.68, style_loss:4.02, total_variation_loss:263.50
Iteration 3800: loss=850.56, content_loss:588.77, style_loss:4.01, total_variation_loss:257.78
Iteration 3900: loss=695.22, content_loss:438.42, style_loss:4.01, total_variation_loss:252.80
Iteration 4000: loss=719.58, content_loss:467.28, style_loss:4.01, total_variation_loss:248.30
Iteration 4100: loss=794.68, content_loss:547.19, style_loss:4.01, total_variation_loss:243.48
Iteration 4200: loss=694.83, content_loss:451.95, style_loss:4.01, total_variation_loss:238.87
Iteration 4300: loss=675.73, content_loss:436.62, style_loss:4.00, total_variation_loss:235.11
Iteration 4400: loss=623.73, content_loss:389.01, style_loss:4.00, total_variation_loss:230.72
Iteration 4500: loss=628.33, content_loss:397.23, style_loss:4.00, total_variation_loss:227.10
Iteration 4600: loss=588.88, content_loss:361.55, style_loss:4.00, total_variation_loss:223.33
Iteration 4700: loss=573.63, content_loss:349.45, style_loss:4.00, total_variation_loss:220.18
Iteration 4800: loss=585.10, content_loss:364.18, style_loss:4.00, total_variation_loss:216.92
Iteration 4900: loss=541.09, content_loss:323.10, style_loss:4.00, total_variation_loss:214.00
